"SampleID","DNAmAge","Comment","noMissingPerSample","meanMethBySample","minMethBySample","maxMethBySample","predictedGender","meanXchromosome"
"GSM2818018_3999337027_R01C01",58.3393550921783,"",0,0.263148128215269,0.0136398923129707,0.984432547413582,"male",0.379063676887142
"GSM2818020_3999337027_R02C01",53.2502109935208,"",0,0.263833261733392,0.0115187733289158,0.985477050149548,"male",0.302189429681375
"GSM2818022_3999337027_R03C01",52.9218095264216,"",0,0.261685335204777,0.0111391585979211,0.986903584830633,"female",0.404417898048762
"GSM2818024_3999337027_R04C01",51.6476564296598,"",0,0.256802461622769,0.0116327341208493,0.984739465896408,"Unsure",0.390651817315954
"GSM2818026_3999337027_R05C01",41.7416750998648,"",0,0.261407376436283,0.0114684767542114,0.985812166372262,"male",0.30027420440196
"GSM2818028_3999337027_R06C01",41.1874936350346,"",0,0.251961493473957,0.00824568752969639,0.986057379207601,"male",0.291803464269823
"GSM2818030_3999337016_R01C01",66.4264772450173,"",0,0.258763946266395,0.0101037005467616,0.986626956276111,"male",0.299346503785247
"GSM2818032_3999337016_R02C01",48.9505520484987,"",0,0.257826030915157,0.0115050035936854,0.98377771028264,"male",0.377133366631139
"GSM2818034_3999337016_R03C01",41.0242207041914,"",0,0.257181872723697,0.0113085089144993,0.986123727438166,"male",0.36713151481696
"GSM2818036_3999337016_R04C01",53.5580009210533," Warning: meanMethBySample is <0.25",0,0.249698168858554,0.00936072548013967,0.987123482769047,"male",0.369788938304493
"GSM2818038_3999337016_R05C01",53.3922599508507," Warning: meanMethBySample is <0.25",0,0.246990739785043,0.00936322179828169,0.981381897072176,"male",0.291180496454051
"GSM2818040_3999337016_R06C01",51.8783883904017," Warning: meanMethBySample is <0.25",0,0.245815462664315,0.00606328037517656,0.988072441945236,"male",0.292745832316318
"GSM2818042_3999337056_R01C01",48.4954568354205,"",0,0.254059359177869,0.0106118902701336,0.982724395135533,"male",0.378253362007604
"GSM2818044_3999337056_R02C01",61.0666570650451," Warning: meanMethBySample is <0.25",0,0.247669696672919,0.00886849229773219,0.987359968085142,"male",0.36453475072564
"GSM2818046_3999337056_R03C01",64.3393547750965,"",0,0.252667638703695,0.0111629904181295,0.985518230773997,"male",0.374982342397846
"GSM2818048_3999337056_R04C01",65.0963632414366,"",0,0.252630004204984,0.00987439954154145,0.98431000891895,"male",0.293433000855971
"GSM2818050_3999337056_R05C01",55.0009625704278,"",0,0.255491846862989,0.0094916879539102,0.986665886418414,"male",0.296015605208764
"GSM2818052_3999337056_R06C01",53.0179555979493,"",0,0.253453667580674,0.00879409065255178,0.986064002166502,"male",0.295756151229586
"GSM2818054_3999337055_R01C01",57.9732908423795,"",0,0.250693108055205,0.00925175913277837,0.983880038756402,"male",0.370540736967769
"GSM2818056_3999337055_R02C01",41.7225582024148,"",0,0.252064770030218,0.0101985178521211,0.984626790150787,"male",0.367772083603181
"GSM2818058_3999337055_R03C01",58.5292867816803,"",0,0.256608174552918,0.0101771458251104,0.9858354299799,"Unsure",0.381610225139734
"GSM2818060_3999337055_R04C01",49.6432844400406,"",0,0.254974910806606,0.0100183164293566,0.98484340814911,"male",0.297137727919403
"GSM2818062_3999337055_R05C01",61.7688473598701,"",0,0.254987801337893,0.00927036217570944,0.983484475341638,"male",0.296100726109245
"GSM2818064_3999337055_R06C01",44.7920542349068,"",0,0.250643375066038,0.00932949282755819,0.985238367436094,"male",0.293516523795528
"GSM2818066_3999492090_R01C01",53.6209824740251,"",0,0.255330583455492,0.010688074127784,0.984335691252474,"male",0.37605321998219
"GSM2818068_3999492090_R02C01",56.0897218858621,"",0,0.254522569290306,0.0105955699657681,0.982227995355918,"male",0.37311354021403
"GSM2818070_3999492090_R03C01",66.3529730805978,"",0,0.256946586156944,0.0103086112894637,0.98477272399219,"male",0.299336682477777
"GSM2818072_3999492090_R04C01",48.8561421759264,"",0,0.251599613294847,0.00888516347648789,0.985047150973242,"Unsure",0.393818505339444
"GSM2818074_3999492090_R05C01",45.7952715339305,"",0,0.251052366400533,0.0090588692759196,0.986014725189121,"male",0.294045491446678
"GSM2818076_3999492090_R06C01",57.5971846939845,"",0,0.254086674400265,0.00814924532532406,0.985776683692251,"male",0.294628183168065
"GSM2818078_3999492111_R01C01",56.6272231525759,"",0,0.25463623724885,0.0107857265433091,0.983601139512703,"Unsure",0.382673038024628
"GSM2818080_3999492111_R02C01",49.5692126438414,"",0,0.253932009514033,0.0111081012133511,0.983762871553105,"male",0.293285551199925
"GSM2818082_3999492111_R03C01",48.9573706234106,"",0,0.253903223925584,0.011473440384299,0.98426672151199,"Unsure",0.394271529482874
"GSM2818084_3999492111_R04C01",48.9141448379396,"",0,0.25158719639025,0.010038970089418,0.985905318414991,"male",0.293767050955978
"GSM2818086_3999492111_R05C01",50.0440960842952," Warning: meanMethBySample is <0.25",0,0.247388605813273,0.00865977196209862,0.981855070900246,"male",0.286063030667872
"GSM2818088_3999492111_R06C01",46.8257209465623," Warning: meanMethBySample is <0.25",0,0.248811049493926,0.00883849124510268,0.985610829432223,"male",0.367041383220489
"GSM2818090_3999492104_R01C01",50.9327364148396,"",0,0.255086776707204,0.0104578723777233,0.984754326609462,"Unsure",0.388435504937637
"GSM2818092_3999492104_R02C01",35.9596427624304,"",0,0.251417665441522,0.00986595805259308,0.982048933450797,"male",0.292942362778378
"GSM2818094_3999492104_R03C01",48.4718275800528,"",0,0.257294798815889,0.0107775364712994,0.986156177893503,"Unsure",0.394542336156853
"GSM2818096_3999492104_R04C01",60.5050312095458,"",0,0.258152431170733,0.00930826492620663,0.984663290656841,"male",0.30084344787278
"GSM2818098_3999492104_R05C01",56.6965936537224,"",0,0.256941397353758,0.00938115152957581,0.985765507806228,"Unsure",0.392689224912012
"GSM2818100_3999492104_R06C01",63.0232511977627,"",0,0.251010794827564,0.00958649513871636,0.984711509371017,"male",0.294190503211095
"GSM2818102_3999492109_R01C01",47.5753546144332," Warning: meanMethBySample is <0.25",0,0.249698283028129,0.00920598234720241,0.981213003397113,"male",0.292072625695903
"GSM2818104_3999492109_R02C01",49.0021820714115,"",0,0.253335826340557,0.00970354833101662,0.983386919437374,"male",0.378826402251527
"GSM2818106_3999492109_R03C01",50.6585486603963,"",0,0.25581627736113,0.0101970535098231,0.98325576935237,"male",0.297640753114649
"GSM2818108_3999492109_R04C01",51.9343172890103,"",0,0.256459407943539,0.0102304104639318,0.98127032295143,"male",0.375623992629561
"GSM2818110_3999492109_R05C01",60.7324461347049,"",0,0.251533055821331,0.0095847881392768,0.98374929928616,"Unsure",0.389667906191045
"GSM2818112_3999492109_R06C01",46.0929839792391,"",0,0.252533188797323,0.00951739031653488,0.985340210488346,"male",0.295193485711494
"GSM2818114_3999442036_R01C01",59.3023155078081,"",0,0.255515634512886,0.0102621423528468,0.983439699059794,"male",0.378441989390092
"GSM2818116_3999442036_R02C01",36.2863472069638," Warning: meanMethBySample is <0.25",0,0.248523623272828,0.00865823758305324,0.982804432540778,"male",0.35499384015825
"GSM2818118_3999442036_R03C01",62.2632509361958,"",0,0.256121325049467,0.0103358206568423,0.984574010877116,"male",0.376001542574025
"GSM2818120_3999442036_R04C01",54.5842923687862,"",0,0.254272670248902,0.0104119180859372,0.985851418322326,"male",0.295478835733473
"GSM2818122_3999442036_R05C01",58.1010873355076,"",0,0.25067940518681,0.00935677144191317,0.984768621518822,"male",0.293172101340953
"GSM2818124_3999442036_R06C01",49.6402533404739,"",0,0.251738503248174,0.00895925710033578,0.981666322607556,"male",0.293919283789053
"GSM2818126_3999442005_R01C01",56.5625419525408," Warning: meanMethBySample is <0.25",0,0.236889820043975,0.00978242153370932,0.981281085765501,"male",0.364106511306629
"GSM2818128_3999442005_R02C01",56.0244604864751,"",0,0.255235000042614,0.00937080857555701,0.985585655725253,"male",0.296811469283355
"GSM2818130_3999442005_R03C01",38.2507952339712,"",0,0.252101079980613,0.0086918286023922,0.978894715154963,"male",0.372347389595583
"GSM2818132_3999442005_R04C01",52.9155006021473,"",0,0.251132670882251,0.00940994683632505,0.983120690627193,"male",0.370056812514755
"GSM2818134_3999442005_R05C01",52.7591036126787,"",0,0.255449268081566,0.0095242500140561,0.982840971603654,"male",0.298114015025264
"GSM2818136_3999442005_R06C01",49.9564813368424,"",0,0.260088600001459,0.0103052732578371,0.986574458924713,"male",0.301663778766021
"GSM2818138_3999442078_R01C01",53.073099582577,"",0,0.251183922993365,0.00900641326723155,0.982291081442135,"male",0.372179281645967
"GSM2818140_3999442078_R02C01",53.0193769556004," Warning: meanMethBySample is <0.25",0,0.247868480846111,0.00994085867320271,0.9822081176048,"male",0.369695036046978
"GSM2818142_3999442078_R03C01",51.4666318811641," Warning: meanMethBySample is <0.25",0,0.249472908689144,0.0105743079924896,0.982843124969851,"male",0.293285478816408
"GSM2818144_3999442078_R04C01",57.9128251438855,"",0,0.251573351462216,0.00949459925953272,0.982623740613134,"male",0.295678113713102
"GSM2818146_3999442078_R05C01",52.2898979072118,"",0,0.251226340524414,0.0107310616699016,0.982179322434779,"male",0.295750106080288
"GSM2818148_3999442078_R06C01",56.986966587893,"",0,0.250303013104649,0.00957176017444155,0.986608998143458,"male",0.360432557140332
"GSM2818150_3999442017_R01C01",62.6732560686048,"",0,0.250268214552177,0.00876941561705325,0.984225895113898,"male",0.293466433522485
"GSM2818152_3999442017_R02C01",47.5508513466436," Warning: meanMethBySample is <0.25",0,0.247590659776408,0.00902673988666546,0.982665202302582,"male",0.373255974812268
"GSM2818154_3999442017_R03C01",52.1386249077103,"",0,0.252684626623452,0.00916422907729557,0.985305021180051,"male",0.295748287697087
"GSM2818156_3999442017_R04C01",51.7491006610162,"",0,0.251843861991298,0.00903695743645804,0.984002967720985,"male",0.297127523598421
"GSM2818158_3999442017_R05C01",49.3517954441955,"",0,0.252256148099135,0.00951936059368171,0.98135290106003,"male",0.295477147020538
"GSM2818160_3999442017_R06C01",47.2878400675967," Warning: meanMethBySample is <0.25",0,0.248050040775486,0.00792047515574037,0.984720690713206,"male",0.291860966552592
"GSM2818162_3999510117_R01C01",57.3986211611943,"",0,0.255186617209583,0.0107178587483747,0.982799258532414,"Unsure",0.383394803799897
"GSM2818164_3999510117_R02C01",56.9117004299586,"",0,0.25285295281919,0.00910905030106236,0.983711537167271,"male",0.375655620520431
"GSM2818166_3999510117_R03C01",50.934964806878,"",0,0.252759390854846,0.00959738848632332,0.983391820961156,"male",0.294418788169314
"GSM2818168_3999510117_R04C01",51.4278032874064,"",0,0.253690370209516,0.00977444942350673,0.98520214517425,"male",0.296666904303144
"GSM2818170_3999510117_R05C01",41.2632779834564," Warning: meanMethBySample is <0.25",0,0.246224809924199,0.0078327666571374,0.985420400443457,"male",0.290533255033512
"GSM2818172_3999510117_R06C01",46.1293783454135," Warning: meanMethBySample is <0.25",0,0.244908635141399,0.00766401913886012,0.984169861372352,"male",0.288522598913684
"GSM2818174_3999510115_R01C01",51.9918872086354," Warning: meanMethBySample is <0.25",0,0.243681357099936,0.00717414259992362,0.982743985365087,"male",0.36885286643206
"GSM2818176_3999510115_R02C01",45.942575137613," Warning: meanMethBySample is <0.25",0,0.245133758805465,0.00782081487913868,0.981291245457439,"male",0.289985543079689
"GSM2818178_3999510115_R03C01",40.2138697348053," Warning: meanMethBySample is <0.25",0,0.246441663567202,0.00864971857208964,0.977789379494691,"male",0.288678997663884
"GSM2818180_3999510115_R04C01",49.7093866450557," Warning: meanMethBySample is <0.25",0,0.24398922738846,0.00825709558313362,0.983050424013648,"male",0.287034589148041
"GSM2818182_3999510115_R05C01",56.5475420079727," Warning: meanMethBySample is <0.25",0,0.249928447698573,0.00766155063019269,0.981923029057194,"male",0.293203124610261
"GSM2818184_3999510115_R06C01",35.5719562309872," Warning: meanMethBySample is <0.25",0,0.244497357338983,0.00694810006059072,0.977200765938462,"male",0.331071245042925
"GSM2818186_3999510116_R01C01",41.197993139734,"",0,0.251541251624523,0.00879538904352034,0.982065355711887,"male",0.294704313304525
"GSM2818188_3999510116_R02C01",52.4851729644089,"",0,0.252384955110221,0.00875437578053483,0.97955932080804,"male",0.37056749314339
"GSM2818190_3999510116_R03C01",54.712524354048," Warning: meanMethBySample is <0.25",0,0.248729209010758,0.00883422318162118,0.979699582825351,"male",0.292235924255048
"GSM2818192_3999510116_R04C01",53.2355600469505," Warning: meanMethBySample is <0.25",0,0.246563631343285,0.0097578758350395,0.981199867075345,"male",0.291102783486117
"GSM2818194_3999510116_R05C01",57.193302176026,"",0,0.255726836138186,0.00919906924875176,0.983266943477489,"male",0.299507435215659
"GSM2818196_3999510116_R06C01",48.2501365828459,"",0,0.250376806671254,0.00761204467049569,0.982695705207862,"male",0.364139666408802
"GSM2818198_3999492126_R01C01",50.6971511710041,"",0,0.25544307795754,0.0103247347922292,0.97961080846615,"Unsure",0.380757045007929
"GSM2818200_3999492126_R02C01",54.8601465138687,"",0,0.25412336720888,0.00957950226310116,0.984244993256398,"male",0.296945200108229
"GSM2818202_3999492126_R03C01",58.7734398095574,"",0,0.252236552828691,0.00883509887869009,0.981531150318532,"male",0.376837023182088
"GSM2818204_3999492126_R04C01",46.2093522174359,"",0,0.254010663715474,0.00916984089923909,0.983313590685185,"male",0.296884370841833
"GSM2818206_3999492126_R05C01",58.0837536748552," Warning: meanMethBySample is <0.25",0,0.248849033046597,0.00847875914459496,0.981638160433059,"male",0.290392786506909
"GSM2818208_3999492126_R06C01",46.2410781745503,"",0,0.252017833497295,0.00866877215125319,0.981596581407941,"male",0.295382899115769
